# Case-duplicate sq_* API pairs (2026-05-27)
# 35 pairs, all co-occur=0 in 193 .nut files
# Treated as same function, different case-rendering
# Format: <variant1>(calls) ↔ <variant2>(calls)  total=<sum>
sq_AddSetStatePacket(171) ↔ sq_addSetStatePacket(55)  total=226
sq_GetIntData(172) ↔ sq_getIntData(48)  total=220
sq_GetLevelData(177) ↔ sq_getLevelData(9)  total=186
sq_GetSkillLevel(168) ↔ sq_getSkillLevel(2)  total=170
sq_SetCurrentAnimation(106) ↔ sq_setCurrentAnimation(39)  total=145
sq_SetCurrentAttackBonusRate(85) ↔ sq_setCurrentAttackBonusRate(5)  total=90
sq_SetCurrentAttackInfo(50) ↔ sq_setCurrentAttackInfo(26)  total=76
sq_CreateCNRDAnimation(62) ↔ sq_createCNRDAnimation(10)  total=72
sq_GetBonusRateWithPassive(58) ↔ sq_getBonusRateWithPassive(13)  total=71
sq_GetVectorData(54) ↔ sq_getVectorData(15)  total=69
sq_GetCurrentAni(37) ↔ sq_getCurrentAni(31)  total=68
sq_GetState(50) ↔ sq_GetSTATE(17)  total=67
sq_StopMove(45) ↔ sq_stopMove(19)  total=64
sq_SetStaticSpeedInfo(44) ↔ sq_setStaticSpeedInfo(1)  total=45
sq_IsMyControlObject(34) ↔ sq_isMyControlObject(7)  total=41
sq_SetStaticMoveInfo(20) ↔ sq_setStaticMoveInfo(7)  total=27
sq_setShake(17) ↔ sq_SetShake(10)  total=27
sq_GetPowerWithPassive(12) ↔ sq_getPowerWithPassive(2)  total=14
sq_createCNRDPooledObject(8) ↔ sq_CreateCNRDPooledObject(3)  total=11
sq_GetDelaySum(9) ↔ sq_getDelaySum(1)  total=10
sq_SetMoveDirection(5) ↔ sq_setMoveDirection(4)  total=9
sq_setAnimationSpeedRate(4) ↔ sq_SetAnimationSpeedRate(3)  total=7
sq_GetStateTimer(4) ↔ sq_getStateTimer(3)  total=7
sq_GetCustomAni(4) ↔ sq_getCustomAni(3)  total=7
sq_isMyCharacter(3) ↔ sq_IsMyCharacter(3)  total=6
sq_addPassiveSkillAttackBonusRate(3) ↔ sq_AddPassiveSkillAttackBonusRate(1)  total=4
sq_GetInputDirection(3) ↔ sq_getInputDirection(1)  total=4
sq_drawCurrentFrameEffect_SIMPLE(2) ↔ sq_DrawCurrentFrameEffect_SIMPLE(2)  total=4
sq_getSkillPower(2) ↔ sq_GetSkillPower(1)  total=3
sq_getJumpAttackAni(2) ↔ sq_GetJumpAttackAni(1)  total=3
sq_getDashAttackAni(2) ↔ sq_GetDashAttackAni(1)  total=3
sq_getBuffAni(2) ↔ sq_GetBuffAni(1)  total=3
sq_getAttackCancelStartFrameSize(2) ↔ sq_GetAttackCancelStartFrameSize(1)  total=3
sq_getAttackAni(2) ↔ sq_GetAttackAni(1)  total=3
sq_getJumpAttackInfo(1) ↔ sq_GetJumpAttackInfo(1)  total=2
